NotUsed  NotUsed  NotUsed  NotUsed  NotUsed
 Day	  DOW	   Interest Sales    FoodStk
       1     3027      4.3	 90    113.0
       2     3034      4.2	 91    115.0
       3     3032      5.1	 90    116.5
       4     3039      5.2	 90    115.8
       5     3037      5.3	 91    116.7
       6     3044      5.4	 91    117.0
       7     3042      5.6	 91    117.9
       8     3048      5.2	 92    117.7
       9     3030      5.8	 91    119.0
      10     3033      5.4	 90    116.2
      11     3030      5.1	 91    115.9
      12     3028      4.6	 92    116.1
      13     3031      4.1	 92    116.3
      14     3032      4.3	 92    116.6
      15     3049      4.6	 93    116.8
      16     3046      4.3	 93    119.6
      17     3048      4.4	 93    119.2
      18     3049      3.3	 93    119.4
      19     3048      3.6	 93    119.4
      20     3050      3.8	 94    119.3
      21     3061      3.1	 96    120.2
      22     3056      3.2	 96    122.6
      23     3058      3.3	 96    122.0
      24     3068      3.3	 96    122.3
      25     3066      3.8	 96    123.6
      26     3070      3.2	 97    123.4
      27     3069      3.6	 97    124.4
      28     3074      3.4	 98    124.3
      29     3075      3.3	 98    125.5
      30     3078      3.2	 98    125.6
      31     3085      3.2	 99    126.0

